e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6 e1g1 d8d6 d2d3 c8g4 c1e3 e8c8 b1d2 f7f6 a1b1 g8h6 b2b4 g4e6 : .......33 moves, avg. D01, 001 counts/move
g2g3 g8f6 f1g2 d7d5 d2d3 e7e5 g1f3 b8c6 e1g1 h7h6 c2c3 c8g4 b1d2 d8d7 b2b4 f8d6 e2e4 d5e4 d3e4 e8c8 : .......26 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3 f8c5 d4b3 c5b6 d1e2 b8c6 c1e3 g8e7 b1c3 e8g8 e1c1 b6e3 : ........6 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c1e3 f8g7 b1c3 g8f6 f2f3 e8g8 d4b3 d7d6 d1d2 c8e6 e1c1 a7a5 : .......41 moves, avg. D01, 001 counts/move
e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1g5 c7c6 d1d2 b8d7 f2f3 f8g7 g5h6 e8g8 e1c1 e7e5 h6g7 g8g7 g2g4 d8e7 : .......35 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 f8e7 e1c1 e8g8 f2f4 d6d5 e4e5 f6d7 : .......39 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1c4 e7e6 c1e3 f8e7 d1e2 e8g8 e1c1 d8c7 h1g1 c6a5 : .......47 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 f1c4 b8c6 d1e2 c8d7 e1c1 c6e5 : .......46 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1c4 e7e6 c1e3 f8e7 c4b3 e8g8 d1e2 c8d7 e1c1 d8b8 : .......35 moves, avg. D06, 010 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 f2f3 d8b6 d4b3 f8g7 c1g5 e8g8 d1d2 b8c6 e1c1 c8e6 : .......39 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 d4d5 f6e4 d1d3 d8f6 c1d2 e4d2 f3d2 e8g8 d2e4 f6g6 e1c1 e6e5 : .......40 moves, avg. D12, 022 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 c7c6 d1d2 a7a6 e1c1 b7b5 h2h4 h7h5 e3h6 b8d7 : .......64 moves, avg. D16, 020 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1c4 e7e6 c1e3 f8e7 d1e2 e8g8 e1c1 a7a6 h1g1 d8e8 : .......55 moves, avg. D07, 013 counts/move
d2d4 g8f6 g1f3 g7g6 c1g5 f8g7 b1d2 d7d5 e2e3 c8g4 h2h3 g4f3 d1f3 b8d7 e1c1 c7c6 f1e2 e8g8 h3h4 e7e5 : .......42 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d7d6 f1c4 g8f6 c1e3 f8e7 d1e2 a7a6 e1c1 d8c7 f2f4 e8g8 : .......47 moves, avg. D01, 001 counts/move
g1f3 d7d6 e2e4 c7c5 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 f1c4 a7a6 d1e2 f8e7 c1e3 b7b5 c4b3 e8g8 e1c1 d8e8 : .......45 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 g1f3 b8d7 c1f4 c7c6 e2e3 f8e7 d1c2 f6h5 f4g3 g7g6 f1d3 e8g8 e1c1 d8a5 : .......46 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 f8e7 d1f3 d8c7 e1c1 e8g8 f1e2 b8c6 : .......52 moves, avg. D07, 013 counts/move
d2d4 g7g6 c2c4 f8g7 b1c3 d7d6 e2e4 g8f6 f2f3 c7c6 c1e3 e8g8 d1d2 e7e5 g1e2 b8d7 e1c1 a7a6 c1b1 f8e8 : .......70 moves, avg. D18, 032 counts/move
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e6 b1c3 d7d6 c1e3 g8f6 f1c4 f8e7 d1e2 e8g8 e1c1 d8a5 f2f4 f6e4 : .......55 moves, avg. D06, 013 counts/move
d2d4 g7g6 c2c4 d7d6 b1c3 b8d7 e2e4 e7e5 c1e3 e5d4 e3d4 g8f6 d1d2 f8g7 f2f3 e8g8 e1c1 d7b6 g2g4 c8e6 : .......40 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f2f4 b8c6 d4b3 f8e7 c1e3 e8g8 d1f3 a7a6 e1c1 d8c7 : .......45 moves, avg. D01, 001 counts/move
e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1e3 f8g7 d1d2 c7c6 e3h6 e8g8 e1c1 d8a5 c1b1 b8d7 h6g7 g8g7 f2f4 d7b6 : .......33 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1c4 e7e6 c1e3 f8e7 d1e2 e8g8 e1c1 d8c7 h1g1 a7a6 : ......474 moves, avg. D26, 028 counts/move
e2e4 c7c6 d2d4 d7d5 b1c3 g7g6 h2h3 f8g7 g1f3 g8h6 f1d3 f7f6 d1e2 h6f7 c1e3 e8g8 e1c1 b8a6 a2a3 a6c7 : .......35 moves, avg. D02, 004 counts/move
