c2c3 h7h5 : ......344 moves, avg. D28, 110 counts/move
c2c3 h7h6 : ......290 moves, avg. D28, 123 counts/move
c2c4 a7a5 : ......188 moves, avg. D23, 105 counts/move
c2c4 a7a6 : ....1 182 moves, avg. D46, 118 counts/move
c2c4 b7b5 : ......422 moves, avg. D25, 116 counts/move
c2c4 b7b6 : ..338 204 moves, avg. D30, 097 counts/move
c2c4 c7c5 : 1 000 000 moves, avg. D37, 082 counts/move
c2c4 c7c6 : 1 000 000 moves, avg. D32, 079 counts/move
c2c4 b8a6 : ......351 moves, avg. D26, 110 counts/move
c2c4 b8c6 : ...54 760 moves, avg. D15, 108 counts/move
c2c4 g8f6 : 1 000 000 moves, avg. D32, 070 counts/move
c2c4 g8h6 : ......186 moves, avg. D23, 105 counts/move
c2c4 d7d5 : 1 000 000 moves, avg. D32, 074 counts/move
c2c4 d7d6 : 1 000 000 moves, avg. D35, 085 counts/move
c2c4 e7e5 : ..282 215 moves, avg. D13, 107 counts/move
c2c4 e7e6 : 1 000 000 moves, avg. D33, 070 counts/move
c2c4 f7f5 : 1 000 000 moves, avg. D36, 092 counts/move
c2c4 f7f6 : ....1 311 moves, avg. D26, 115 counts/move
c2c4 g7g5 : ....1 299 moves, avg. D24, 107 counts/move
c2c4 g7g6 : 1 000 000 moves, avg. D37, 082 counts/move
c2c4 h7h5 : ......216 moves, avg. D21, 104 counts/move
c2c4 h7h6 : ......203 moves, avg. D33, 106 counts/move
b1a3 a7a5 : ......162 moves, avg. D26, 099 counts/move
b1a3 a7a6 : ......204 moves, avg. D29, 105 counts/move
b1a3 b7b5 : ....4 317 moves, avg. D26, 118 counts/move
b1a3 b7b6 : ......329 moves, avg. D26, 112 counts/move
b1a3 c7c5 : ......159 moves, avg. D31, 093 counts/move
b1a3 c7c6 : ......155 moves, avg. D35, 122 counts/move
b1a3 b8a6 : ......173 moves, avg. D39, 122 counts/move
b1a3 b8c6 : ......326 moves, avg. D28, 107 counts/move
b1a3 g8f6 : ......328 moves, avg. D33, 112 counts/move
b1a3 g8h6 : ......187 moves, avg. D23, 103 counts/move
b1a3 d7d5 : ......514 moves, avg. D32, 115 counts/move
b1a3 d7d6 : ......186 moves, avg. D22, 104 counts/move
b1a3 e7e5 : ...21 993 moves, avg. D07, 117 counts/move
b1a3 e7e6 : ......230 moves, avg. D33, 109 counts/move
b1a3 f7f5 : ......184 moves, avg. D25, 105 counts/move
b1a3 f7f6 : ......220 moves, avg. D27, 107 counts/move
b1a3 g7g5 : ......548 moves, avg. D22, 113 counts/move
b1a3 g7g6 : ......187 moves, avg. D26, 102 counts/move
b1a3 h7h5 : ......183 moves, avg. D27, 104 counts/move
b1a3 h7h6 : ......193 moves, avg. D26, 105 counts/move
b1c3 a7a5 : ......761 moves, avg. D24, 115 counts/move
b1c3 a7a6 : ......809 moves, avg. D31, 117 counts/move
b1c3 b7b5 : ....4 317 moves, avg. D26, 118 counts/move
b1c3 b7b6 : ......845 moves, avg. D28, 111 counts/move
b1c3 c7c5 : 1 000 000 moves, avg. D34, 074 counts/move
b1c3 c7c6 : 1 000 000 moves, avg. D29, 087 counts/move
b1c3 b8a6 : ......542 moves, avg. D24, 115 counts/move
b1c3 b8c6 : ...79 779 moves, avg. D32, 097 counts/move
b1c3 g8f6 : 1 000 000 moves, avg. D33, 087 counts/move
b1c3 g8h6 : ....2 782 moves, avg. D25, 118 counts/move
b1c3 d7d5 : 1 000 000 moves, avg. D30, 087 counts/move
b1c3 d7d6 : 1 000 000 moves, avg. D34, 081 counts/move
b1c3 e7e5 : ..581 784 moves, avg. D30, 098 counts/move
b1c3 e7e6 : 1 000 000 moves, avg. D31, 086 counts/move
b1c3 f7f5 : ......260 moves, avg. D23, 100 counts/move
b1c3 f7f6 : ......648 moves, avg. D22, 112 counts/move
b1c3 g7g5 : ....1 802 moves, avg. D23, 118 counts/move
b1c3 g7g6 : 1 000 000 moves, avg. D36, 081 counts/move
b1c3 h7h5 : ......189 moves, avg. D22, 102 counts/move
b1c3 h7h6 : ......322 moves, avg. D26, 110 counts/move
g1f3 a7a5 : ......716 moves, avg. D24, 115 counts/move
g1f3 a7a6 : 1 000 000 moves, avg. D32, 093 counts/move
g1f3 b7b5 : ......182 moves, avg. D22, 104 counts/move
g1f3 b7b6 : ..180 500 moves, avg. D30, 094 counts/move
g1f3 c7c5 : 1 000 000 moves, avg. D34, 071 counts/move
g1f3 c7c6 : 1 000 000 moves, avg. D32, 084 counts/move
g1f3 b8a6 : ......312 moves, avg. D23, 111 counts/move
g1f3 b8c6 : 1 000 000 moves, avg. D31, 079 counts/move
g1f3 g8f6 : 1 000 000 moves, avg. D33, 076 counts/move
g1f3 g8h6 : ....2 901 moves, avg. D25, 118 counts/move
g1f3 d7d5 : 1 000 000 moves, avg. D32, 077 counts/move
g1f3 d7d6 : 1 000 000 moves, avg. D34, 078 counts/move
g1f3 e7e5 : ......514 moves, avg. D24, 113 counts/move
g1f3 e7e6 : 1 000 000 moves, avg. D34, 074 counts/move
g1f3 f7f5 : 1 000 000 moves, avg. D36, 093 counts/move
g1f3 f7f6 : ......682 moves, avg. D23, 114 counts/move
g1f3 g7g5 : ....1 574 moves, avg. D24, 118 counts/move
g1f3 g7g6 : 1 000 000 moves, avg. D34, 080 counts/move
g1f3 h7h5 : ....2 275 moves, avg. D26, 118 counts/move
g1f3 h7h6 : ......406 moves, avg. D24, 114 counts/move
g1h3 a7a5 : ......141 moves, avg. D29, 104 counts/move
g1h3 a7a6 : ......191 moves, avg. D27, 109 counts/move
g1h3 b7b5 : ......151 moves, avg. D25, 123 counts/move
g1h3 b7b6 : ......213 moves, avg. D29, 109 counts/move
g1h3 c7c5 : ......242 moves, avg. D26, 104 counts/move
g1h3 c7c6 : ......244 moves, avg. D26, 108 counts/move
g1h3 b8a6 : ......198 moves, avg. D24, 099 counts/move
g1h3 b8c6 : ......153 moves, avg. D27, 123 counts/move
g1h3 g8f6 : ....2 142 moves, avg. D28, 116 counts/move
g1h3 g8h6 : ......178 moves, avg. D26, 108 counts/move
g1h3 d7d5 : ...42 484 moves, avg. D19, 115 counts/move
g1h3 d7d6 : ......191 moves, avg. D24, 107 counts/move
g1h3 e7e5 : ....3 046 moves, avg. D11, 118 counts/move
g1h3 e7e6 : ......174 moves, avg. D30, 104 counts/move
g1h3 f7f5 : ......354 moves, avg. D25, 112 counts/move
g1h3 f7f6 : ......584 moves, avg. D27, 117 counts/move
g1h3 g7g5 : ....1 574 moves, avg. D24, 118 counts/move
g1h3 g7g6 : ......181 moves, avg. D25, 107 counts/move
g1h3 h7h5 : ......150 moves, avg. D28, 104 counts/move
g1h3 h7h6 : ......161 moves, avg. D34, 104 counts/move
d2d3 a7a5 : ......155 moves, avg. D25, 123 counts/move
d2d3 a7a6 : ......156 moves, avg. D31, 122 counts/move
d2d3 b7b5 : ......174 moves, avg. D25, 100 counts/move
d2d3 b7b6 : ......213 moves, avg. D26, 104 counts/move
d2d3 c7c5 : ...16 993 moves, avg. D47, 095 counts/move
d2d3 c7c6 : ......571 moves, avg. D32, 095 counts/move
d2d3 b8a6 : ......276 moves, avg. D23, 108 counts/move
d2d3 b8c6 : ......378 moves, avg. D30, 113 counts/move
d2d3 g8f6 : ...45 151 moves, avg. D08, 119 counts/move
d2d3 g8h6 : ......191 moves, avg. D27, 101 counts/move
d2d3 d7d5 : ..115 182 moves, avg. D12, 118 counts/move
d2d3 d7d6 : ......225 moves, avg. D22, 105 counts/move
d2d3 e7e5 : ...53 215 moves, avg. D08, 119 counts/move
d2d3 e7e6 : ....1 179 moves, avg. D36, 102 counts/move
d2d3 f7f5 : ......545 moves, avg. D32, 103 counts/move
d2d3 f7f6 : ......224 moves, avg. D29, 098 counts/move
d2d3 g7g5 : ......449 moves, avg. D22, 111 counts/move
d2d3 g7g6 : ......321 moves, avg. D28, 109 counts/move
d2d3 h7h5 : ......242 moves, avg. D32, 122 counts/move
d2d3 h7h6 : ......247 moves, avg. D27, 105 counts/move
d2d4 a7a5 : ....1 109 moves, avg. D26, 116 counts/move
d2d4 a7a6 : ....1 243 moves, avg. D30, 117 counts/move
d2d4 b7b5 : ......270 moves, avg. D23, 108 counts/move
d2d4 b7b6 : ..238 292 moves, avg. D29, 096 counts/move
d2d4 c7c5 : 1 000 000 moves, avg. D33, 075 counts/move
d2d4 c7c6 : 1 000 000 moves, avg. D32, 082 counts/move
d2d4 b8a6 : ......879 moves, avg. D25, 116 counts/move
d2d4 b8c6 : ...42 170 moves, avg. D35, 096 counts/move
d2d4 g8f6 : 1 000 000 moves, avg. D33, 073 counts/move
d2d4 g8h6 : ....2 704 moves, avg. D25, 118 counts/move
d2d4 d7d5 : 1 000 000 moves, avg. D33, 071 counts/move
d2d4 d7d6 : 1 000 000 moves, avg. D37, 081 counts/move
d2d4 e7e5 : ..105 594 moves, avg. D36, 089 counts/move
d2d4 e7e6 : 1 000 000 moves, avg. D33, 073 counts/move
d2d4 f7f5 : 1 000 000 moves, avg. D35, 088 counts/move
d2d4 f7f6 : ......729 moves, avg. D23, 114 counts/move
d2d4 g7g5 : ......821 moves, avg. D21, 117 counts/move
d2d4 g7g6 : 1 000 000 moves, avg. D37, 081 counts/move
d2d4 h7h5 : ...16 876 moves, avg. D30, 088 counts/move
