c2c3 h7h5 : .......21 moves, avg. D01, 001 counts/move
c2c3 h7h6 : .......21 moves, avg. D01, 001 counts/move
c2c4 a7a5 : .......22 moves, avg. D01, 001 counts/move
c2c4 a7a6 : ...10 058 moves, avg. D30, 013 counts/move
c2c4 b7b5 : .......23 moves, avg. D01, 001 counts/move
c2c4 b7b6 : ...45 115 moves, avg. D37, 017 counts/move
c2c4 c7c5 : 1 000 000 moves, avg. D37, 023 counts/move
c2c4 c7c6 : 1 000 000 moves, avg. D35, 034 counts/move
c2c4 b8a6 : .......22 moves, avg. D01, 001 counts/move
c2c4 b8c6 : 1 000 000 moves, avg. D38, 035 counts/move
c2c4 g8f6 : 1 000 000 moves, avg. D34, 031 counts/move
c2c4 g8h6 : .......22 moves, avg. D01, 001 counts/move
c2c4 d7d5 : ....1 240 moves, avg. D40, 015 counts/move
c2c4 d7d6 : ..404 857 moves, avg. D44, 018 counts/move
c2c4 e7e5 : 1 000 000 moves, avg. D36, 034 counts/move
c2c4 e7e6 : 1 000 000 moves, avg. D34, 032 counts/move
c2c4 f7f5 : ..649 655 moves, avg. D39, 017 counts/move
c2c4 f7f6 : ......390 moves, avg. D36, 015 counts/move
c2c4 g7g5 : .......22 moves, avg. D01, 001 counts/move
c2c4 g7g6 : ..672 005 moves, avg. D39, 021 counts/move
c2c4 h7h5 : .......22 moves, avg. D01, 001 counts/move
c2c4 h7h6 : .......35 moves, avg. D07, 003 counts/move
b1a3 a7a5 : .......20 moves, avg. D01, 001 counts/move
b1a3 a7a6 : .......20 moves, avg. D01, 001 counts/move
b1a3 b7b5 : .......20 moves, avg. D01, 001 counts/move
b1a3 b7b6 : .......20 moves, avg. D01, 001 counts/move
b1a3 c7c5 : .......20 moves, avg. D01, 001 counts/move
b1a3 c7c6 : .......20 moves, avg. D01, 001 counts/move
b1a3 b8a6 : .......20 moves, avg. D01, 001 counts/move
b1a3 b8c6 : .......20 moves, avg. D01, 001 counts/move
b1a3 g8f6 : .......20 moves, avg. D01, 001 counts/move
b1a3 g8h6 : .......78 moves, avg. D36, 012 counts/move
b1a3 d7d5 : .......30 moves, avg. D04, 005 counts/move
b1a3 d7d6 : .......20 moves, avg. D01, 001 counts/move
b1a3 e7e5 : ......246 moves, avg. D41, 017 counts/move
b1a3 e7e6 : .......20 moves, avg. D01, 001 counts/move
b1a3 f7f5 : .......20 moves, avg. D01, 001 counts/move
b1a3 f7f6 : .......20 moves, avg. D01, 001 counts/move
b1a3 g7g5 : .......20 moves, avg. D01, 001 counts/move
b1a3 g7g6 : .......20 moves, avg. D01, 001 counts/move
b1a3 h7h5 : .......20 moves, avg. D01, 001 counts/move
b1a3 h7h6 : .......20 moves, avg. D01, 001 counts/move
b1c3 a7a5 : .......22 moves, avg. D01, 001 counts/move
b1c3 a7a6 : .......22 moves, avg. D01, 001 counts/move
b1c3 b7b5 : .......22 moves, avg. D01, 001 counts/move
b1c3 b7b6 : .......24 moves, avg. D03, 002 counts/move
b1c3 c7c5 : 1 000 000 moves, avg. D35, 035 counts/move
b1c3 c7c6 : ...41 863 moves, avg. D42, 018 counts/move
b1c3 b8a6 : .......22 moves, avg. D01, 001 counts/move
b1c3 b8c6 : ......141 moves, avg. D30, 012 counts/move
b1c3 g8f6 : 1 000 000 moves, avg. D45, 021 counts/move
b1c3 g8h6 : .......22 moves, avg. D01, 001 counts/move
b1c3 d7d5 : ...32 836 moves, avg. D48, 019 counts/move
b1c3 d7d6 : ..112 406 moves, avg. D36, 020 counts/move
b1c3 e7e5 : .......34 moves, avg. D05, 006 counts/move
b1c3 e7e6 : 1 000 000 moves, avg. D36, 054 counts/move
b1c3 f7f5 : .......23 moves, avg. D02, 003 counts/move
b1c3 f7f6 : .......22 moves, avg. D01, 001 counts/move
b1c3 g7g5 : .......22 moves, avg. D01, 001 counts/move
b1c3 g7g6 : .......23 moves, avg. D02, 002 counts/move
b1c3 h7h5 : .......22 moves, avg. D01, 001 counts/move
b1c3 h7h6 : .......22 moves, avg. D01, 001 counts/move
g1f3 a7a5 : .......24 moves, avg. D03, 002 counts/move
g1f3 a7a6 : ....4 935 moves, avg. D29, 013 counts/move
g1f3 b7b5 : .......23 moves, avg. D02, 001 counts/move
g1f3 b7b6 : 1 000 000 moves, avg. D40, 024 counts/move
g1f3 c7c5 : 1 000 000 moves, avg. D35, 031 counts/move
g1f3 c7c6 : 1 000 000 moves, avg. D35, 036 counts/move
g1f3 b8a6 : .......22 moves, avg. D01, 001 counts/move
g1f3 b8c6 : ....4 923 moves, avg. D37, 021 counts/move
g1f3 g8f6 : 1 000 000 moves, avg. D34, 031 counts/move
g1f3 g8h6 : .......22 moves, avg. D01, 001 counts/move
g1f3 d7d5 : 1 000 000 moves, avg. D34, 031 counts/move
g1f3 d7d6 : ..223 258 moves, avg. D43, 019 counts/move
g1f3 e7e5 : 1 000 000 moves, avg. D35, 034 counts/move
g1f3 e7e6 : 1 000 000 moves, avg. D34, 031 counts/move
g1f3 f7f5 : ..320 887 moves, avg. D39, 017 counts/move
g1f3 f7f6 : .......22 moves, avg. D01, 001 counts/move
g1f3 g7g5 : .......22 moves, avg. D01, 001 counts/move
g1f3 g7g6 : ...79 643 moves, avg. D41, 018 counts/move
g1f3 h7h5 : .......34 moves, avg. D12, 005 counts/move
g1f3 h7h6 : .......22 moves, avg. D01, 001 counts/move
g1h3 a7a5 : .......20 moves, avg. D01, 001 counts/move
g1h3 a7a6 : .......20 moves, avg. D01, 001 counts/move
g1h3 b7b5 : .......20 moves, avg. D01, 001 counts/move
g1h3 b7b6 : .......20 moves, avg. D01, 001 counts/move
g1h3 c7c5 : .......20 moves, avg. D01, 001 counts/move
g1h3 c7c6 : .......20 moves, avg. D01, 001 counts/move
g1h3 b8a6 : .......20 moves, avg. D01, 001 counts/move
g1h3 b8c6 : .......20 moves, avg. D01, 001 counts/move
g1h3 g8f6 : .......20 moves, avg. D01, 001 counts/move
g1h3 g8h6 : .......20 moves, avg. D01, 001 counts/move
g1h3 d7d5 : .......26 moves, avg. D08, 004 counts/move
g1h3 d7d6 : .......20 moves, avg. D01, 001 counts/move
g1h3 e7e5 : .......20 moves, avg. D01, 001 counts/move
g1h3 e7e6 : .......70 moves, avg. D25, 009 counts/move
g1h3 f7f5 : .......20 moves, avg. D01, 001 counts/move
g1h3 f7f6 : .......20 moves, avg. D01, 001 counts/move
g1h3 g7g5 : .......20 moves, avg. D01, 001 counts/move
g1h3 g7g6 : .......20 moves, avg. D01, 001 counts/move
g1h3 h7h5 : .......20 moves, avg. D01, 001 counts/move
g1h3 h7h6 : .......20 moves, avg. D01, 001 counts/move
d2d3 a7a5 : .......27 moves, avg. D01, 001 counts/move
d2d3 a7a6 : .......27 moves, avg. D01, 001 counts/move
d2d3 b7b5 : .......27 moves, avg. D01, 001 counts/move
d2d3 b7b6 : .......27 moves, avg. D01, 001 counts/move
d2d3 c7c5 : ......368 moves, avg. D40, 016 counts/move
d2d3 c7c6 : ......170 moves, avg. D30, 015 counts/move
d2d3 b8a6 : .......27 moves, avg. D01, 001 counts/move
d2d3 b8c6 : ......225 moves, avg. D29, 007 counts/move
d2d3 g8f6 : 1 000 000 moves, avg. D39, 035 counts/move
d2d3 g8h6 : .......27 moves, avg. D01, 001 counts/move
d2d3 d7d5 : ....8 067 moves, avg. D46, 020 counts/move
d2d3 d7d6 : .......27 moves, avg. D01, 001 counts/move
d2d3 e7e5 : 1 000 000 moves, avg. D37, 036 counts/move
d2d3 e7e6 : ......390 moves, avg. D41, 022 counts/move
d2d3 f7f5 : .......27 moves, avg. D01, 001 counts/move
d2d3 f7f6 : .......27 moves, avg. D01, 001 counts/move
d2d3 g7g5 : .......26 moves, avg. D01, 001 counts/move
d2d3 g7g6 : ......244 moves, avg. D37, 017 counts/move
d2d3 h7h5 : .......27 moves, avg. D01, 001 counts/move
d2d3 h7h6 : .......27 moves, avg. D01, 001 counts/move
d2d4 a7a5 : .......28 moves, avg. D01, 001 counts/move
d2d4 a7a6 : ......243 moves, avg. D36, 014 counts/move
d2d4 b7b5 : .......28 moves, avg. D09, 001 counts/move
d2d4 b7b6 : ....3 233 moves, avg. D36, 020 counts/move
d2d4 c7c5 : 1 000 000 moves, avg. D39, 027 counts/move
d2d4 c7c6 : 1 000 000 moves, avg. D35, 034 counts/move
d2d4 b8a6 : .......28 moves, avg. D01, 001 counts/move
d2d4 b8c6 : ....7 311 moves, avg. D44, 021 counts/move
d2d4 g8f6 : 1 000 000 moves, avg. D34, 031 counts/move
d2d4 g8h6 : ......105 moves, avg. D27, 009 counts/move
d2d4 d7d5 : 1 000 000 moves, avg. D34, 031 counts/move
d2d4 d7d6 : ..482 483 moves, avg. D37, 020 counts/move
d2d4 e7e5 : ....3 784 moves, avg. D47, 021 counts/move
d2d4 e7e6 : 1 000 000 moves, avg. D34, 031 counts/move
d2d4 f7f5 : 1 000 000 moves, avg. D38, 017 counts/move
d2d4 f7f6 : ......174 moves, avg. D31, 012 counts/move
d2d4 g7g5 : .......27 moves, avg. D01, 001 counts/move
d2d4 g7g6 : ..584 033 moves, avg. D40, 020 counts/move
d2d4 h7h5 : .......28 moves, avg. D01, 001 counts/move
d2d4 h7h6 : .......28 moves, avg. D01, 001 counts/move
e2e3 a7a5 : .......30 moves, avg. D01, 001 counts/move
e2e3 a7a6 : .......31 moves, avg. D13, 005 counts/move
e2e3 b7b5 : .......29 moves, avg. D01, 001 counts/move
e2e3 b7b6 : 1 000 000 moves, avg. D36, 025 counts/move
e2e3 c7c5 : ..759 340 moves, avg. D45, 018 counts/move
e2e3 c7c6 : ......118 moves, avg. D22, 012 counts/move
e2e3 b8a6 : .......30 moves, avg. D01, 001 counts/move
e2e3 b8c6 : .......30 moves, avg. D01, 001 counts/move
e2e3 g8f6 : 1 000 000 moves, avg. D33, 031 counts/move
e2e3 g8h6 : .......30 moves, avg. D01, 001 counts/move
e2e3 d7d5 : 1 000 000 moves, avg. D34, 032 counts/move
e2e3 d7d6 : ...23 885 moves, avg. D46, 017 counts/move
e2e3 e7e5 : ..105 653 moves, avg. D43, 023 counts/move
e2e3 e7e6 : 1 000 000 moves, avg. D33, 031 counts/move
e2e3 f7f5 : ......188 moves, avg. D32, 011 counts/move
