e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 e4d6                               : ...13 893 moves, avg. D41, 113 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 b7b6 e2e3 e8g8                               : ......243 moves, avg. D28, 064 counts/move
c2c4 c7c6 d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 b2b3 c6c5                               : .......34 moves, avg. D04, 011 counts/move
g1f3 g8f6 d2d4 c7c6 c1f4 d7d5 e2e3 c8f5 b1d2 e7e6                               : .......43 moves, avg. D03, 009 counts/move
c2c4 e7e6 g1f3 d7d5 d2d4 f8e7 g2g3 g8f6 f1g2 e8g8                               : ...12 602 moves, avg. D35, 075 counts/move
c2c4 c7c6 e2e4 d7d5 e4d5 c6d5 d2d4 g8f6 b1c3 b8c6                               : ......231 moves, avg. D30, 081 counts/move
d2d4 d7d5 c2c4 c7c6 e2e3 c8f5 g1f3 e7e6 f1d3 f5d3                               : .......29 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f1b5 b8d7 f3d4 g7g6                               : .......47 moves, avg. D01, 001 counts/move
g1f3 g8f6 g2g3 g7g6 d2d4 f8g7 f1g2 d7d5 c2c4 e8g8                               : ......317 moves, avg. D31, 072 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f1b5 c8d7 f3d4 g8f6                               : .......26 moves, avg. D03, 010 counts/move
d2d4 g8f6 g1f3 d7d5 c2c4 d5c4 e2e3 e7e6 f1c4 c7c5                               : ......607 moves, avg. D36, 073 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f1b5 b8c6 f3d4 c8d7                               : ......100 moves, avg. D24, 056 counts/move
d2d4 d7d5 e2e3 g8f6 g1f3 e7e6 f1d3 c7c5 b2b3 b8c6                               : .......39 moves, avg. D04, 011 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f1b5 b8d7 f3d4 g8f6                               : ....8 331 moves, avg. D06, 122 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5                               : ...72 486 moves, avg. D39, 102 counts/move
c2c4 e7e6 g1f3 g8f6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3                               : ....5 834 moves, avg. D09, 118 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g2g3 d7d5 c4d5 f6d5                               : .......41 moves, avg. D08, 020 counts/move
d2d4 g8f6 c2c4 e7e6 e2e3 b7b6 g1f3 c8b7 b1c3 d7d5                               : .......44 moves, avg. D07, 019 counts/move
c2c4 c7c5 g1f3 g8f6 g2g3 d7d5 d2d4 d5c4 d1a4 d8d7                               : .......57 moves, avg. D17, 053 counts/move
d2d4 d7d5 c2c4 c7c6 g1f3 e7e6 e2e3 g8f6 d1c2 f8d6                               : ....6 296 moves, avg. D30, 082 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 c1f4 e8g8                               : .......81 moves, avg. D20, 050 counts/move
d2d4 d7d5 e2e3 c8f5 g1f3 c7c6 f1d3 e7e6 d3f5 e6f5                               : .......29 moves, avg. D01, 001 counts/move
