e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 h2h4 h7h5 f1d3 f5d3 d1d3 e7e6 g1f3 d8a5 b1d2 c6c5 e1g1 c5c4 d3e2 g8h6 : .......25 moves, avg. D01, 001 counts/move
e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1f3 e7e6 f1e2 c6c5 c1e3 d8b6 b1c3 c5c4 a1b1 f8b4 f3h4 f5g6 e1g1 b6a5 : .......33 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 f2f3 b8d7 g2g4 d7b6 g4g5 f6h5 : .......45 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e6 a2a3 f8e7 f2f3 h7h5 f1c4 b8c6 d1e2 c8d7 : .......51 moves, avg. D01, 001 counts/move
e2e4 e7e6 b1c3 d7d5 d2d4 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3 a7a6 c3e2 f8e7 c2c3 a6a5 d4c5 e8g8 : .......38 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3 a7a6 c3e2 f8e7 c2c3 e8g8 h2h4 f7f6 : .......36 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 b1c3 g8e7 d2d4 e5d4 f3d4 c6d4 d1d4 e7c6 d4e3 f8b4 c1d2 d7d6 a2a3 b4c5 e3g3 e8g8 : .......45 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 d2d3 d7d6 c2c3 a7a6 a2a4 e8g8 b1d2 a6a5 f1e1 c8e6 h2h3 h7h6 : ......358 moves, avg. D28, 028 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 b1d2 e8g8 e1g1 f6d7 a2a4 f8e8 d2c4 b7b6 g1h1 a7a5 : .......37 moves, avg. D02, 004 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 e1g1 f6d7 f1e1 e8g8 c2c3 c5d6 b1d2 d7b6 a2a4 a7a5 : .......31 moves, avg. D05, 002 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 e1g1 f6d7 c1e3 c5e3 f2e3 d8e7 b2b3 a7a5 d1d2 f7f6 : .......31 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 e1g1 f6d7 b1d2 e8g8 d2c4 f7f6 f3h4 a7a5 c1d2 a5a4 : .......37 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5a4 a7a6 e1g1 b7b5 a4b3 d7d6 c2c3 h7h6 a2a4 c8d7 f1e1 e8g8 : .......36 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 e1g1 f6d7 b1d2 e8g8 d2c4 f8e8 c1d2 b7b5 c4e3 d7b6 : .......47 moves, avg. D15, 016 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 e1g1 f6d7 b1d2 e8g8 d2c4 f7f6 f3h4 g7g6 h4f3 f8f7 : .......34 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 b1d2 e8g8 d2c4 f6d7 h2h4 a7a5 h4h5 a5a4 c4e3 h7h6 : .......32 moves, avg. D04, 003 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 e1g1 d8e7 b1d2 c8g4 h2h3 g4h5 a2a3 f6d7 b2b4 c5d6 : .......25 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 e1g1 f6d7 b1d2 e8g8 d2c4 f8e8 c1d2 a7a6 a2a4 f7f6 : .......40 moves, avg. D04, 005 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 e1g1 f6d7 b1d2 a7a5 d2c4 d8e7 c2c3 e8g8 f1e1 e7e6 : .......37 moves, avg. D01, 001 counts/move
d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 b1c3 c7c6 e2e3 b8d7 a2a4 f8d6 f1e2 e8g8 e1g1 a7a5 b2b3 b7b6 c1b2 c8b7 : .......33 moves, avg. D01, 001 counts/move
e2e4 g7g6 d2d4 f8g7 c2c4 d7d6 b1c3 g8f6 f2f3 e8g8 c1e3 e7e5 d4d5 f6h5 d1d2 f7f5 e1c1 a7a6 f1d3 h5f4 : .......34 moves, avg. D01, 001 counts/move
c2c4 e7e5 b1c3 f8b4 d2d3 d7d6 c1d2 g8f6 g2g3 e8g8 f1g2 c7c5 g1h3 b8c6 e1g1 h7h6 f2f4 b4c3 d2c3 f8e8 : .......37 moves, avg. D01, 001 counts/move
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 e2e4 f8b4 d2d3 d7d6 f1e2 b4c5 h2h3 e8g8 e1g1 a7a5 c1e3 c6d4 d1d2 c8d7 : .......37 moves, avg. D01, 001 counts/move
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 e2e4 f8b4 d2d3 d7d6 a2a3 b4c3 b2c3 f6d7 g2g3 d7c5 f3h4 c6a5 a1b1 b7b6 : ......135 moves, avg. D21, 025 counts/move
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 e2e4 f8b4 d2d3 d7d6 a2a3 b4c3 b2c3 f6d7 g2g3 d7c5 f3h4 c6a5 a1b1 c8e6 : ......136 moves, avg. D20, 024 counts/move
e2e4 g7g6 d2d4 f8g7 c2c4 d7d6 b1c3 c7c5 d4d5 g7c3 b2c3 e7e5 f1d3 b8d7 g1f3 d8e7 e1g1 e8d8 a1b1 f7f6 : .......36 moves, avg. D01, 001 counts/move
d2d4 g8f6 g2g4 f6g4 e2e4 d7d6 f1e2 g4f6 b1c3 c7c6 c1e3 g7g6 g1f3 b8d7 d1d2 b7b5 e4e5 b5b4 c3d1 f6d5 : .......31 moves, avg. D01, 001 counts/move
d2d4 g8f6 g2g4 f6g4 e2e4 d7d6 f1e2 g4f6 b1c3 c7c6 c1e3 g7g6 g1f3 f8g7 d1d2 d6d5 e4e5 f6e4 c3e4 d5e4 : .......37 moves, avg. D01, 001 counts/move
e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1e3 a7a6 h2h3 f8g7 f2f4 e8g8 g1f3 b8c6 e4e5 f6d7 f1e2 d7b6 d1d2 c6b4 : .......42 moves, avg. D01, 001 counts/move
e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1e3 a7a6 h2h3 f8g7 f2f4 e8g8 g1f3 b8c6 e4e5 f6d7 d1e2 b7b5 h3h4 h7h5 : .......40 moves, avg. D01, 001 counts/move
e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1f3 e7e6 f1e2 c6c5 c1e3 c5d4 f3d4 g8e7 b1d2 b8c6 d2f3 f5e4 e1g1 e7g6 : .......37 moves, avg. D01, 001 counts/move
e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1f3 e7e6 f1e2 g8e7 c2c3 h7h6 e1g1 b8d7 a2a4 a7a6 b1d2 c6c5 d4c5 d7c5 : .......28 moves, avg. D01, 001 counts/move
e2e4 c7c5 h2h4 b8c6 g1h3 g8f6 b1c3 e7e6 d2d3 d7d5 e4d5 e6d5 c1g5 f8e7 g2g3 c8g4 f1e2 g4e2 e1e2 d8d7 : .......39 moves, avg. D01, 001 counts/move
e2e4 c7c5 h2h4 b8c6 g1h3 g8f6 b1c3 e7e6 d2d3 d7d5 e4d5 e6d5 c1g5 f8e7 g2g3 c8g4 f1e2 g4e2 d1e2 c6d4 : .......44 moves, avg. D01, 001 counts/move
