c2c4 a7a5 : .......22 moves, avg. D01, 001 counts/move
c2c4 a7a6 : .......22 moves, avg. D01, 001 counts/move
c2c4 b7b5 : .......23 moves, avg. D01, 001 counts/move
c2c4 b7b6 : .......22 moves, avg. D01, 001 counts/move
c2c4 c7c5 : ......410 moves, avg. D36, 107 counts/move
c2c4 c7c6 : .......23 moves, avg. D03, 006 counts/move
c2c4 b8a6 : .......22 moves, avg. D01, 001 counts/move
c2c4 b8c6 : .......22 moves, avg. D01, 001 counts/move
c2c4 g8f6 : ...48 940 moves, avg. D51, 117 counts/move
c2c4 g8h6 : .......22 moves, avg. D01, 001 counts/move
c2c4 d7d5 : ...53 875 moves, avg. D48, 113 counts/move
c2c4 d7d6 : .......22 moves, avg. D01, 001 counts/move
c2c4 e7e5 : ......121 moves, avg. D31, 086 counts/move
c2c4 e7e6 : ..118 910 moves, avg. D52, 117 counts/move
c2c4 f7f5 : .......22 moves, avg. D01, 001 counts/move
c2c4 f7f6 : .......22 moves, avg. D01, 001 counts/move
c2c4 g7g5 : .......86 moves, avg. D17, 064 counts/move
c2c4 g7g6 : .......22 moves, avg. D01, 001 counts/move
c2c4 h7h5 : .......22 moves, avg. D01, 001 counts/move
c2c4 h7h6 : .......22 moves, avg. D01, 001 counts/move
b1a3 a7a5 : .......20 moves, avg. D01, 001 counts/move
b1a3 a7a6 : .......20 moves, avg. D01, 001 counts/move
b1a3 b7b5 : .......20 moves, avg. D01, 001 counts/move
b1a3 b7b6 : .......20 moves, avg. D01, 001 counts/move
b1a3 c7c5 : .......20 moves, avg. D01, 001 counts/move
b1a3 c7c6 : .......20 moves, avg. D01, 001 counts/move
b1a3 b8a6 : .......20 moves, avg. D01, 001 counts/move
b1a3 b8c6 : .......20 moves, avg. D01, 001 counts/move
b1a3 g8f6 : .......20 moves, avg. D01, 001 counts/move
b1a3 g8h6 : .......20 moves, avg. D01, 001 counts/move
b1a3 d7d5 : .......20 moves, avg. D01, 001 counts/move
b1a3 d7d6 : .......20 moves, avg. D01, 001 counts/move
b1a3 e7e5 : ......123 moves, avg. D21, 034 counts/move
b1a3 e7e6 : .......20 moves, avg. D01, 001 counts/move
b1a3 f7f5 : .......20 moves, avg. D01, 001 counts/move
b1a3 f7f6 : .......20 moves, avg. D01, 001 counts/move
b1a3 g7g5 : .......20 moves, avg. D01, 001 counts/move
b1a3 g7g6 : .......20 moves, avg. D01, 001 counts/move
b1a3 h7h5 : .......20 moves, avg. D01, 001 counts/move
b1a3 h7h6 : .......20 moves, avg. D01, 001 counts/move
b1c3 a7a5 : .......22 moves, avg. D01, 001 counts/move
b1c3 a7a6 : .......22 moves, avg. D01, 001 counts/move
b1c3 b7b5 : .......22 moves, avg. D01, 001 counts/move
b1c3 b7b6 : .......22 moves, avg. D01, 001 counts/move
b1c3 c7c5 : .......23 moves, avg. D02, 006 counts/move
b1c3 c7c6 : .......22 moves, avg. D01, 001 counts/move
b1c3 b8a6 : .......22 moves, avg. D01, 001 counts/move
b1c3 b8c6 : .......22 moves, avg. D01, 001 counts/move
b1c3 g8f6 : .......22 moves, avg. D01, 001 counts/move
b1c3 g8h6 : .......22 moves, avg. D01, 001 counts/move
b1c3 d7d5 : .......27 moves, avg. D07, 022 counts/move
b1c3 d7d6 : .......22 moves, avg. D01, 001 counts/move
b1c3 e7e5 : ......328 moves, avg. D24, 087 counts/move
b1c3 e7e6 : .......24 moves, avg. D03, 008 counts/move
b1c3 f7f5 : .......22 moves, avg. D01, 001 counts/move
b1c3 f7f6 : .......22 moves, avg. D01, 001 counts/move
b1c3 g7g5 : .......22 moves, avg. D01, 001 counts/move
b1c3 g7g6 : .......22 moves, avg. D01, 001 counts/move
b1c3 h7h5 : .......22 moves, avg. D01, 001 counts/move
b1c3 h7h6 : .......22 moves, avg. D01, 001 counts/move
g1f3 a7a5 : .......23 moves, avg. D04, 011 counts/move
g1f3 a7a6 : .......22 moves, avg. D01, 001 counts/move
g1f3 b7b5 : .......22 moves, avg. D01, 001 counts/move
g1f3 b7b6 : .......22 moves, avg. D01, 001 counts/move
g1f3 c7c5 : ......785 moves, avg. D42, 107 counts/move
g1f3 c7c6 : .......29 moves, avg. D10, 029 counts/move
g1f3 b8a6 : .......22 moves, avg. D01, 001 counts/move
g1f3 b8c6 : .......22 moves, avg. D01, 001 counts/move
g1f3 g8f6 : ...24 478 moves, avg. D51, 117 counts/move
g1f3 g8h6 : .......22 moves, avg. D01, 001 counts/move
g1f3 d7d5 : ...46 680 moves, avg. D52, 117 counts/move
g1f3 d7d6 : .......22 moves, avg. D01, 001 counts/move
g1f3 e7e5 : ..245 598 moves, avg. D40, 116 counts/move
g1f3 e7e6 : ...47 801 moves, avg. D51, 117 counts/move
g1f3 f7f5 : .......22 moves, avg. D01, 001 counts/move
g1f3 f7f6 : .......22 moves, avg. D01, 001 counts/move
g1f3 g7g5 : .......22 moves, avg. D01, 001 counts/move
g1f3 g7g6 : .......22 moves, avg. D01, 001 counts/move
g1f3 h7h5 : .......23 moves, avg. D02, 006 counts/move
g1f3 h7h6 : .......22 moves, avg. D01, 001 counts/move
g1h3 a7a5 : .......20 moves, avg. D01, 001 counts/move
g1h3 a7a6 : .......20 moves, avg. D01, 001 counts/move
g1h3 b7b5 : .......20 moves, avg. D01, 001 counts/move
g1h3 b7b6 : .......20 moves, avg. D01, 001 counts/move
g1h3 c7c5 : .......20 moves, avg. D01, 001 counts/move
g1h3 c7c6 : .......20 moves, avg. D01, 001 counts/move
g1h3 b8a6 : .......20 moves, avg. D01, 001 counts/move
g1h3 b8c6 : .......20 moves, avg. D01, 001 counts/move
g1h3 g8f6 : .......24 moves, avg. D03, 010 counts/move
g1h3 g8h6 : .......20 moves, avg. D01, 001 counts/move
g1h3 d7d5 : ......275 moves, avg. D26, 086 counts/move
g1h3 d7d6 : .......20 moves, avg. D01, 001 counts/move
g1h3 e7e5 : .......24 moves, avg. D05, 011 counts/move
g1h3 e7e6 : .......20 moves, avg. D01, 001 counts/move
g1h3 f7f5 : .......20 moves, avg. D01, 001 counts/move
g1h3 f7f6 : .......20 moves, avg. D01, 001 counts/move
g1h3 g7g5 : .......20 moves, avg. D01, 001 counts/move
g1h3 g7g6 : .......20 moves, avg. D01, 001 counts/move
g1h3 h7h5 : .......20 moves, avg. D01, 001 counts/move
g1h3 h7h6 : .......20 moves, avg. D01, 001 counts/move
d2d3 a7a5 : .......27 moves, avg. D01, 001 counts/move
d2d3 a7a6 : .......27 moves, avg. D01, 001 counts/move
d2d3 b7b5 : .......27 moves, avg. D01, 001 counts/move
d2d3 b7b6 : .......27 moves, avg. D01, 001 counts/move
d2d3 c7c5 : .......27 moves, avg. D01, 001 counts/move
d2d3 c7c6 : .......27 moves, avg. D01, 001 counts/move
d2d3 b8a6 : .......27 moves, avg. D01, 001 counts/move
d2d3 b8c6 : .......27 moves, avg. D01, 001 counts/move
d2d3 g8f6 : .......27 moves, avg. D01, 001 counts/move
d2d3 g8h6 : .......27 moves, avg. D01, 001 counts/move
d2d3 d7d5 : .......28 moves, avg. D02, 005 counts/move
d2d3 d7d6 : .......27 moves, avg. D01, 001 counts/move
d2d3 e7e5 : ......106 moves, avg. D29, 087 counts/move
d2d3 e7e6 : .......27 moves, avg. D01, 001 counts/move
d2d3 f7f5 : .......27 moves, avg. D01, 001 counts/move
d2d3 f7f6 : .......27 moves, avg. D01, 001 counts/move
d2d3 g7g5 : .......26 moves, avg. D01, 001 counts/move
d2d3 g7g6 : .......27 moves, avg. D01, 001 counts/move
d2d3 h7h5 : .......27 moves, avg. D01, 001 counts/move
d2d3 h7h6 : .......27 moves, avg. D01, 001 counts/move
d2d4 a7a5 : .......28 moves, avg. D01, 001 counts/move
d2d4 a7a6 : .......28 moves, avg. D01, 001 counts/move
d2d4 b7b5 : .......28 moves, avg. D01, 001 counts/move
d2d4 b7b6 : .......28 moves, avg. D01, 001 counts/move
d2d4 c7c5 : .......29 moves, avg. D01, 001 counts/move
d2d4 c7c6 : .......29 moves, avg. D02, 005 counts/move
d2d4 b8a6 : .......28 moves, avg. D01, 001 counts/move
d2d4 b8c6 : .......29 moves, avg. D02, 005 counts/move
d2d4 g8f6 : ...24 479 moves, avg. D51, 116 counts/move
d2d4 g8h6 : .......28 moves, avg. D01, 001 counts/move
d2d4 d7d5 : ...93 336 moves, avg. D52, 117 counts/move
d2d4 d7d6 : .......29 moves, avg. D02, 005 counts/move
d2d4 e7e5 : .......43 moves, avg. D09, 017 counts/move
d2d4 e7e6 : ...71 137 moves, avg. D52, 117 counts/move
d2d4 f7f5 : .......28 moves, avg. D01, 001 counts/move
d2d4 f7f6 : .......28 moves, avg. D01, 001 counts/move
d2d4 g7g5 : .......30 moves, avg. D04, 006 counts/move
d2d4 g7g6 : .......28 moves, avg. D01, 001 counts/move
d2d4 h7h5 : ....1 145 moves, avg. D24, 090 counts/move
d2d4 h7h6 : .......28 moves, avg. D01, 001 counts/move
e2e3 a7a5 : .......30 moves, avg. D01, 001 counts/move
e2e3 a7a6 : .......30 moves, avg. D01, 001 counts/move
e2e3 b7b5 : .......29 moves, avg. D01, 001 counts/move
e2e3 b7b6 : .......30 moves, avg. D01, 001 counts/move
e2e3 c7c5 : ......477 moves, avg. D34, 108 counts/move
