c2c3 h7h6 : .......21 moves, avg. D01, 001 counts/move
c2c4 a7a5 : .......22 moves, avg. D01, 001 counts/move
c2c4 a7a6 : ....3 036 moves, avg. D25, 010 counts/move
c2c4 b7b5 : .......23 moves, avg. D01, 001 counts/move
c2c4 b7b6 : ...14 952 moves, avg. D34, 017 counts/move
c2c4 c7c5 : ...44 833 moves, avg. D35, 031 counts/move
c2c4 c7c6 : 1 000 000 moves, avg. D35, 047 counts/move
c2c4 b8a6 : .......22 moves, avg. D01, 001 counts/move
c2c4 b8c6 : ....6 777 moves, avg. D36, 017 counts/move
c2c4 g8f6 : 1 000 000 moves, avg. D33, 046 counts/move
c2c4 g8h6 : .......22 moves, avg. D01, 001 counts/move
c2c4 d7d5 : ....8 655 moves, avg. D32, 022 counts/move
c2c4 d7d6 : ....4 420 moves, avg. D35, 009 counts/move
c2c4 e7e5 : 1 000 000 moves, avg. D44, 044 counts/move
c2c4 e7e6 : 1 000 000 moves, avg. D33, 046 counts/move
c2c4 f7f5 : ...50 289 moves, avg. D35, 018 counts/move
c2c4 f7f6 : .......22 moves, avg. D01, 001 counts/move
c2c4 g7g5 : .......22 moves, avg. D01, 001 counts/move
c2c4 g7g6 : ...53 220 moves, avg. D36, 029 counts/move
c2c4 h7h5 : .......22 moves, avg. D01, 001 counts/move
c2c4 h7h6 : .......22 moves, avg. D01, 001 counts/move
b1a3 a7a5 : .......20 moves, avg. D01, 001 counts/move
b1a3 a7a6 : .......20 moves, avg. D01, 001 counts/move
b1a3 b7b5 : .......20 moves, avg. D01, 001 counts/move
b1a3 b7b6 : .......20 moves, avg. D01, 001 counts/move
b1a3 c7c5 : .......20 moves, avg. D01, 001 counts/move
b1a3 c7c6 : .......20 moves, avg. D01, 001 counts/move
b1a3 b8a6 : .......20 moves, avg. D01, 001 counts/move
b1a3 b8c6 : .......20 moves, avg. D01, 001 counts/move
b1a3 g8f6 : .......20 moves, avg. D01, 001 counts/move
b1a3 g8h6 : .......20 moves, avg. D01, 001 counts/move
b1a3 d7d5 : .......30 moves, avg. D04, 005 counts/move
b1a3 d7d6 : .......20 moves, avg. D01, 001 counts/move
b1a3 e7e5 : .......20 moves, avg. D01, 001 counts/move
b1a3 e7e6 : .......20 moves, avg. D01, 001 counts/move
b1a3 f7f5 : .......20 moves, avg. D01, 001 counts/move
b1a3 f7f6 : .......20 moves, avg. D01, 001 counts/move
b1a3 g7g5 : .......20 moves, avg. D01, 001 counts/move
b1a3 g7g6 : .......20 moves, avg. D01, 001 counts/move
b1a3 h7h5 : .......20 moves, avg. D01, 001 counts/move
b1a3 h7h6 : .......20 moves, avg. D01, 001 counts/move
b1c3 a7a5 : .......22 moves, avg. D01, 001 counts/move
b1c3 a7a6 : .......22 moves, avg. D01, 001 counts/move
b1c3 b7b5 : .......22 moves, avg. D01, 001 counts/move
b1c3 b7b6 : .......23 moves, avg. D02, 001 counts/move
b1c3 c7c5 : 1 000 000 moves, avg. D32, 040 counts/move
b1c3 c7c6 : ....9 459 moves, avg. D33, 016 counts/move
b1c3 b8a6 : .......22 moves, avg. D01, 001 counts/move
b1c3 b8c6 : .......22 moves, avg. D01, 001 counts/move
b1c3 g8f6 : ...13 078 moves, avg. D34, 024 counts/move
b1c3 g8h6 : .......22 moves, avg. D01, 001 counts/move
b1c3 d7d5 : ....3 912 moves, avg. D32, 015 counts/move
b1c3 d7d6 : .......22 moves, avg. D01, 001 counts/move
b1c3 e7e5 : .......33 moves, avg. D04, 008 counts/move
b1c3 e7e6 : 1 000 000 moves, avg. D34, 068 counts/move
b1c3 f7f5 : .......22 moves, avg. D01, 001 counts/move
b1c3 f7f6 : .......22 moves, avg. D01, 001 counts/move
b1c3 g7g5 : .......22 moves, avg. D01, 001 counts/move
b1c3 g7g6 : .......23 moves, avg. D02, 002 counts/move
b1c3 h7h5 : .......22 moves, avg. D01, 001 counts/move
b1c3 h7h6 : .......22 moves, avg. D01, 001 counts/move
g1f3 a7a5 : .......22 moves, avg. D01, 001 counts/move
g1f3 a7a6 : ......217 moves, avg. D25, 009 counts/move
g1f3 b7b5 : .......22 moves, avg. D01, 001 counts/move
g1f3 b7b6 : .......22 moves, avg. D01, 001 counts/move
g1f3 c7c5 : 1 000 000 moves, avg. D32, 038 counts/move
g1f3 c7c6 : ......119 moves, avg. D20, 011 counts/move
g1f3 b8a6 : .......22 moves, avg. D01, 001 counts/move
g1f3 b8c6 : 1 000 000 moves, avg. D38, 056 counts/move
g1f3 g8f6 : 1 000 000 moves, avg. D32, 037 counts/move
g1f3 g8h6 : .......22 moves, avg. D01, 001 counts/move
g1f3 d7d5 : 1 000 000 moves, avg. D32, 038 counts/move
g1f3 d7d6 : ....1 329 moves, avg. D34, 012 counts/move
g1f3 e7e5 : 1 000 000 moves, avg. D38, 056 counts/move
g1f3 e7e6 : 1 000 000 moves, avg. D32, 037 counts/move
g1f3 f7f5 : ...17 348 moves, avg. D35, 018 counts/move
g1f3 f7f6 : .......22 moves, avg. D01, 001 counts/move
g1f3 g7g5 : .......22 moves, avg. D01, 001 counts/move
g1f3 g7g6 : ......246 moves, avg. D28, 015 counts/move
g1f3 h7h5 : .......22 moves, avg. D01, 001 counts/move
g1f3 h7h6 : .......22 moves, avg. D01, 001 counts/move
g1h3 a7a5 : .......20 moves, avg. D01, 001 counts/move
g1h3 a7a6 : .......20 moves, avg. D01, 001 counts/move
g1h3 b7b5 : .......20 moves, avg. D01, 001 counts/move
g1h3 b7b6 : .......20 moves, avg. D01, 001 counts/move
g1h3 c7c5 : .......20 moves, avg. D01, 001 counts/move
g1h3 c7c6 : .......20 moves, avg. D01, 001 counts/move
g1h3 b8a6 : .......20 moves, avg. D01, 001 counts/move
g1h3 b8c6 : .......20 moves, avg. D01, 001 counts/move
g1h3 g8f6 : .......20 moves, avg. D01, 001 counts/move
g1h3 g8h6 : .......20 moves, avg. D01, 001 counts/move
g1h3 d7d5 : .......20 moves, avg. D01, 001 counts/move
g1h3 d7d6 : .......20 moves, avg. D01, 001 counts/move
g1h3 e7e5 : .......20 moves, avg. D01, 001 counts/move
g1h3 e7e6 : .......20 moves, avg. D01, 001 counts/move
g1h3 f7f5 : .......20 moves, avg. D01, 001 counts/move
g1h3 f7f6 : .......20 moves, avg. D01, 001 counts/move
g1h3 g7g5 : .......20 moves, avg. D01, 001 counts/move
g1h3 g7g6 : .......20 moves, avg. D01, 001 counts/move
g1h3 h7h5 : .......20 moves, avg. D01, 001 counts/move
g1h3 h7h6 : .......20 moves, avg. D01, 001 counts/move
d2d3 a7a5 : .......27 moves, avg. D01, 001 counts/move
d2d3 a7a6 : .......27 moves, avg. D01, 001 counts/move
d2d3 b7b5 : .......27 moves, avg. D01, 001 counts/move
d2d3 b7b6 : .......27 moves, avg. D01, 001 counts/move
d2d3 c7c5 : ......110 moves, avg. D23, 017 counts/move
d2d3 c7c6 : .......93 moves, avg. D22, 016 counts/move
d2d3 b8a6 : .......27 moves, avg. D01, 001 counts/move
d2d3 b8c6 : ......225 moves, avg. D29, 007 counts/move
d2d3 g8f6 : .......27 moves, avg. D01, 001 counts/move
d2d3 g8h6 : .......27 moves, avg. D01, 001 counts/move
d2d3 d7d5 : ......215 moves, avg. D27, 013 counts/move
d2d3 d7d6 : .......27 moves, avg. D01, 001 counts/move
d2d3 e7e5 : ......389 moves, avg. D30, 016 counts/move
d2d3 e7e6 : .......28 moves, avg. D03, 004 counts/move
d2d3 f7f5 : .......27 moves, avg. D01, 001 counts/move
d2d3 f7f6 : .......27 moves, avg. D01, 001 counts/move
d2d3 g7g5 : .......26 moves, avg. D01, 001 counts/move
d2d3 g7g6 : .......27 moves, avg. D01, 001 counts/move
d2d3 h7h5 : .......27 moves, avg. D01, 001 counts/move
d2d3 h7h6 : .......27 moves, avg. D01, 001 counts/move
d2d4 a7a5 : .......28 moves, avg. D01, 001 counts/move
d2d4 a7a6 : ......461 moves, avg. D28, 010 counts/move
d2d4 b7b5 : .......28 moves, avg. D09, 001 counts/move
d2d4 b7b6 : ...10 457 moves, avg. D35, 019 counts/move
d2d4 c7c5 : ..116 233 moves, avg. D35, 028 counts/move
d2d4 c7c6 : ...15 282 moves, avg. D32, 020 counts/move
d2d4 b8a6 : .......28 moves, avg. D01, 001 counts/move
d2d4 b8c6 : ....1 492 moves, avg. D37, 020 counts/move
d2d4 g8f6 : 1 000 000 moves, avg. D32, 040 counts/move
d2d4 g8h6 : .......28 moves, avg. D01, 001 counts/move
d2d4 d7d5 : 1 000 000 moves, avg. D33, 041 counts/move
d2d4 d7d6 : ......813 moves, avg. D33, 015 counts/move
d2d4 e7e5 : ......637 moves, avg. D30, 013 counts/move
d2d4 e7e6 : 1 000 000 moves, avg. D32, 041 counts/move
d2d4 f7f5 : ...81 256 moves, avg. D35, 018 counts/move
d2d4 f7f6 : .......28 moves, avg. D01, 001 counts/move
d2d4 g7g5 : .......27 moves, avg. D01, 001 counts/move
d2d4 g7g6 : ...40 194 moves, avg. D35, 022 counts/move
d2d4 h7h5 : .......28 moves, avg. D01, 001 counts/move
d2d4 h7h6 : .......28 moves, avg. D01, 001 counts/move
e2e3 a7a5 : .......30 moves, avg. D01, 001 counts/move
e2e3 a7a6 : .......31 moves, avg. D13, 005 counts/move
e2e3 b7b5 : .......29 moves, avg. D01, 001 counts/move
e2e3 b7b6 : ..102 915 moves, avg. D31, 027 counts/move
e2e3 c7c5 : ....9 794 moves, avg. D31, 023 counts/move
e2e3 c7c6 : ......118 moves, avg. D21, 012 counts/move
e2e3 b8a6 : .......30 moves, avg. D01, 001 counts/move
e2e3 b8c6 : .......30 moves, avg. D01, 001 counts/move
e2e3 g8f6 : 1 000 000 moves, avg. D31, 030 counts/move
e2e3 g8h6 : .......30 moves, avg. D01, 001 counts/move
e2e3 d7d5 : 1 000 000 moves, avg. D32, 033 counts/move
